"State","Pop","Growth"
"Alabama",4908621,"0.0042"
"Alaska",734002,"-0.0047"
"Arizona",7378494,"0.0288"
"Arkansas",3038999,"0.0084"
"California",39937489,"0.0096"
"Colorado",5845526,"0.0263"
"Connecticut",3563077,"-0.0027"
"Delaware",982895,"0.0163"
"District of Columbia",720687,"0.0260"
"Florida",21992985,"0.0326"
"Georgia",10736059,"0.0206"
"Hawaii",1412687,"-0.0055"
"Idaho",1826156,"0.0410"
"Illinois",12659682,"-0.0064"
"Indiana",6745354,"0.0080"
"Iowa",3179849,"0.0075"
"Kansas",2910357,"-0.0004"
"Kentucky",4499692,"0.0070"
"Louisiana",4645184,"-0.0032"
"Maine",1345790,"0.0055"
"Maryland",6083116,"0.0067"
"Massachusetts",6976597,"0.0108"
"Michigan",10045029,"0.0049"
"Minnesota",5700671,"0.0159"
"Mississippi",2989260,"0.0009"
"Missouri",6169270,"0.0070"
"Montana",1086759,"0.0230"
"Nebraska",1952570,"0.0121"
"Nevada",3139658,"0.0347"
"New Hampshire",1371246,"0.0109"
"New Jersey",8936574,"0.0031"
"New Mexico",2096640,"0.0006"
"New York",19440469,"-0.0052"
"North Carolina",10611862,"0.0220"
"North Dakota",761723,"0.0022"
"Ohio",11747694,"0.0050"
"Oklahoma",3954821,"0.0030"
"Oregon",4301089,"0.0263"
"Pennsylvania",12820878,"0.0011"
"Rhode Island",1056161,"-0.0011"
"South Carolina",5210095,"0.0248"
"South Dakota",903027,"0.0236"
"Tennessee",6897576,"0.0188"
"Texas",29472295,"0.0268"
"Utah",3282115,"0.0383"
"Vermont",628061,"0.0028"
"Virginia",8626207,"0.0127"
"Washington",7797095,"0.0347"
"West Virginia",1778070,"-0.0154"
"Wisconsin",5851754,"0.0066"
"Wyoming",567025,"-0.0185"
